case_id,device_family,vendor,model,source_url,source_basis,raw_features,out_of_scope_distractors,gold_capabilities,annotation_status
L01,Smart light,Tuya,TS0601_light,https://www.zigbee2mqtt.io/devices/TS0601_light.html,Light controller exposing state and brightness; brightness range 0–254.,state; brightness,power_on_behavior,power_control; brightness_control,Audited v1.1 — Accepted
L02,Smart light,Tuya,TS0502A,https://www.zigbee2mqtt.io/devices/TS0502A.html,"Light controller exposing state, brightness and color_temp; brightness 0–254 and color temperature in mireds.",state; brightness; color_temp,effect; do_not_disturb,power_control; brightness_control; color_temperature_control,Audited v1.1 — Accepted
L03,Smart light,Tuya,TS0503B,https://www.zigbee2mqtt.io/devices/TS0503B.html,"RGB light exposing state, brightness and color_xy.",state; brightness; color_xy,effect; do_not_disturb; color_power_on_behavior,power_control; brightness_control; color_control,Audited v1.1 — Accepted
L04,Smart light,Ltech,TY-75-24-G2Z2_CCT,https://www.zigbee2mqtt.io/devices/TY-75-24-G2Z2_CCT.html,"Tunable-white LED driver exposing state, brightness and color_temp.",state; brightness; color_temp,,power_control; brightness_control; color_temperature_control,Audited v1.1 — Accepted
L05,Smart light,Lidl,14148906L,https://www.zigbee2mqtt.io/devices/14148906L.html,"RGB+CCT mood light exposing state, brightness, color_temp and color_xy.",state; brightness; color_temp; color_xy,effect; do_not_disturb; color_power_on_behavior,power_control; brightness_control; color_temperature_control; color_control,Audited v1.1 — Accepted
L06,Smart light,Innr,OFL 122 C,https://www.zigbee2mqtt.io/devices/OFL_122_C.html,"RGBW outdoor light exposing state, brightness, color_temp, color_xy and color_hs.",state; brightness; color_temp; color_xy; color_hs,effect; power_on_behavior,power_control; brightness_control; color_temperature_control; color_control,Audited v1.1 — Accepted
P01,Smart plug,eWeLink,SA-003-Zigbee,https://www.zigbee2mqtt.io/devices/SA-003-Zigbee.html,Smart plug exposing a switch state that can be read and controlled as ON/OFF.,state,,power_control,Audited v1.1 — Accepted
P02,Smart plug,Philips,8718699689308,https://www.zigbee2mqtt.io/devices/8718699689308.html,Hue smart plug exposing controllable switch state.,state,power_on_behavior; identify,power_control,Audited v1.1 — Accepted
P03,Smart plug,Innr,SP 120,https://www.zigbee2mqtt.io/devices/SP_120.html,"Smart plug exposing switch state, instantaneous power and cumulative energy, plus voltage/current.",state; power; energy,voltage; current,power_control; power_sensing; energy_consumption_sensing,Audited v1.1 — Accepted
P04,Smart plug,Innr,SP 240,https://www.zigbee2mqtt.io/devices/SP_240.html,"Smart plug exposing switch state, power, energy, voltage and current.",state; power; energy,voltage; current; power_on_behavior,power_control; power_sensing; energy_consumption_sensing,Audited v1.1 — Accepted
P05,Smart plug,Bosch,BSP-FD,https://www.zigbee2mqtt.io/devices/BSP-FD.html,"Smart plug exposing switch state, active power and accumulated energy.",state; power; energy,led_brightness; produced_energy; energy_saving_mode_enabled,power_control; power_sensing; energy_consumption_sensing,Audited v1.1 — Accepted
